id,title,company,city,lat,lon,min_exp,skills,salary_min
2d6b0396-ade3-49f4-ba7c-b00f5e17406f,teknisi instalasi pompa dan panel listrik,PT Surya Utama Fibertek,,-6.13472,106.70278,1,"Electrical Performance Test, Electrical Wiring, Electrical Engineering",0
9c6c716c-cb15-4525-a88d-7087c1d70f08,Customer Service,TARASARI,,-7.98528,110.65806,1,"Teamwork, Communication, Customer Service, Microsoft Office, Administration",0
938cd504-fe20-4e7b-a7e9-eb26f395fde9,Content Creator,PT BINA LESTARI NUSANTARA,,-6.873333,107.599604,0,"Content Strategy, Content Writing, Content Editing",0
c73e43a2-4e74-42f9-99ee-3afd8682b87c,Marketing Conventional (Purwakarta),PT. SETYA KULINER MANDIRI,,-6.54,107.45528,1,"Social Media, Marketing Communications, Marketing Strategy, B2B Marketing, Digital Marketing",0
06d15497-35eb-4c95-8c0c-79232b3065a1,PENGURUS TRUCKING,PT Surya Buana Sentosa,,-7.36583,112.67333,1,"Troubleshooting, Logistics Management, Leadership",0
e86379f2-b045-4829-b736-6547caaf6099,Performance Marketing,PT ESBI BATARA NIAGA INDONESIA,Depok,-6.40972,106.9875,1,"Google Ads, Digital Marketing, Critical Thinking, TikTok Ads, Sales Strategy, Meta Ads",0
35d6af5f-bd12-465b-a271-f952dc8b6807,Supervisor Distribution,Top Tujuh Distribusi,Lumajang,-8.24861,113.10556,1,"Store Management, Sales Strategy, Retail Management, Customer Service, Leadership",0
c24c3652-a21d-4b02-866f-940215c89345,Assistaant Travel Manager (Tour & Travel),Travel Buddies,,-6.23333,106.92083,3,"Customer Service, Travel Management, Travel Itinerary Planning, Travel Sales",0
4b3f5b46-0cb4-4d9b-b437-8d3cdee540c9,Crew Store Cempaka Putih,Ayam Goreng Cabe Ijo Mas Hendy,,-6.17917,106.86806,0,"Cashier, Store Operations, Customer Service",0
3f20f6b8-9514-4fb7-a741-79a1e917e40d,Data Analyst/Data Scientist/Data Engineer/AI Engineer,PT DIGITAL SEJAHTERA NUSANTARA,,-6.24444,106.8,0,"Kafka, Tableau, SQL, Google BigQuery, Data Analysis, Power BI, Python, Kubernetes, Apache Spark",0
4296ed2f-5f5c-47cb-8a97-d889320db4c5,General HR Manager,PT Camilan Kreatif Nusantara,,-7.67972,110.67,1,"Human Resource Development (HRD), HR Administration, Recruitment, Performance Management",0
d7ffb1ed-88d9-426c-aa17-db67de7ccf60,Routing & Assignment Control Staff,PT Cakra Guna Disribusi,,-6.24861,106.77778,1,"Inventory Management, Warehouse Management, Logistics Management",0
2e59e729-1536-4018-8f1c-14bac9537c41,Staf PPIC,Bengawan Jaya Abadi,,-7.59583,110.87111,1,"Logistics Distribution, Warehouse Management, Route Planning, Logistics Management",0
ce897995-f348-4ae4-91b8-62d7c23ee6bc,Babysitter/Perawat lansia,LPPRT CV Kairos Jaya Nusantara - Nurhayati,,-6.30722,106.9525,0,"Home Care, Healthcare, Baby Care",0
