Kabupaten/Kota,Angkatan Kerja - Bekerja,Angkatan Kerja Pengangguran - Pernah Bekerja,Angkatan Kerja Pengangguran - Tidak Pernah Bekerja,Angkatan Kerja Pengangguran - Jumlah,Angkatan Kerja - Jumlah Angkatan Kerja,Angkatan Kerja - Persentase Bekerja terhadap Angkatan Kerja,Bukan Angkatan Kerja - Sekolah,Bukan Angkatan Kerja - Mengurus Rumah Tangga,Bukan Angkatan Kerja - Lainnya,Bukan Angkatan Kerja - Jumlah Bukan Angkatan Kerja,Angkatan Kerja + Bukan Angkatan Kerja (Jumlah ),Persentase Angkatan Kerja terhadap Penduduk Usia Kerja,Provinsi
Mojokerto,653623.0,15140.0,8494.0,23634.0,677257.0,9651.0,38342.0,173149.0,23456.0,234947.0,912204.0,7424.0,Jawa Timur
Jombang,757323.0,19475.0,6211.0,25686.0,783009.0,9672.0,64576.0,203378.0,27002.0,294956.0,1077965.0,7264.0,Jawa Timur
Nganjuk,637949.0,15554.0,9935.0,25489.0,663438.0,9616.0,60431.0,168319.0,14280.0,243030.0,906468.0,7319.0,Jawa Timur
Madiun,441821.0,13819.0,0.0,14710.0,456531.0,9678.0,36614.0,103116.0,20947.0,160677.0,617208.0,7397.0,Jawa Timur
Magetan,401752.0,9778.0,3775.0,13553.0,415305.0,9674.0,33037.0,90883.0,16756.0,140676.0,555981.0,7470.0,Jawa Timur
Ngawi,523834.0,9565.0,0.0,12085.0,535919.0,9774.0,44309.0,111732.0,26578.0,182619.0,718538.0,7458.0,Jawa Timur
Bojonegoro,810528.0,12814.0,20123.0,32937.0,843465.0,9610.0,58467.0,147596.0,23442.0,229505.0,1072970.0,7861.0,Jawa Timur
Tuban,698005.0,14121.0,10733.0,24854.0,722859.0,9656.0,53867.0,168621.0,46725.0,269213.0,992072.0,7286.0,Jawa Timur
Lamongan,797879.0,20665.0,15068.0,35733.0,833612.0,9571.0,69092.0,171146.0,41044.0,281282.0,1114894.0,7477.0,Jawa Timur
Gresik,695657.0,30971.0,9269.0,40240.0,735897.0,9453.0,83857.0,204755.0,57868.0,346480.0,1082377.0,6799.0,Jawa Timur
Bangkalan,568657.0,13162.0,18716.0,31878.0,600535.0,9469.0,62548.0,157386.0,50616.0,270550.0,871085.0,6894.0,Jawa Timur
Sampang,588696.0,11194.0,0.0,14744.0,603440.0,9756.0,40987.0,110040.0,24597.0,175624.0,779064.0,7746.0,Jawa Timur
Pamekasan,543357.0,0.0,2771.0,7336.0,550693.0,9867.0,46361.0,70289.0,22319.0,138969.0,689662.0,7985.0,Jawa Timur
Sumenep,735757.0,0.0,6168.0,12301.0,748058.0,9836.0,49678.0,101006.0,36385.0,187069.0,935127.0,8000.0,Jawa Timur
Kota Kediri,161496.0,5106.0,1210.0,6316.0,167812.0,9624.0,19588.0,39650.0,10495.0,69733.0,237545.0,7064.0,Jawa Timur
Kota Blitar,89912.0,3196.0,823.0,4019.0,93931.0,9572.0,7617.0,19204.0,2915.0,29736.0,123667.0,7595.0,Jawa Timur
Kota Malang,459084.0,21290.0,6420.0,27710.0,486794.0,9431.0,56658.0,120992.0,32460.0,210110.0,696904.0,6985.0,Jawa Timur
Kota Probolinggo,126445.0,3213.0,3342.0,6555.0,133.0,9507.0,14280.0,38891.0,8147.0,61318.0,194318.0,6844.0,Jawa Timur
Kota Pasuruan,122524.0,5.0,899.0,5899.0,128423.0,9541.0,10471.0,25633.0,5279.0,41383.0,169806.0,7563.0,Jawa Timur
Kota Mojokerto,72568.0,2107.0,1442.0,3549.0,76117.0,9534.0,8155.0,21882.0,2552.0,32589.0,108706.0,7002.0,Jawa Timur
Kota Madiun,112286.0,3643.0,1393.0,5036.0,117322.0,9571.0,11758.0,30445.0,5179.0,47382.0,164704.0,7123.0,Jawa Timur
Kota Surabaya,1561997.0,50046.0,29386.0,79432.0,1641429.0,9516.0,194340.0,431867.0,57635.0,683842.0,2325271.0,7059.0,Jawa Timur
Kota Batu,137462.0,3235.0,1789.0,5024.0,142486.0,9647.0,9714.0,19823.0,4904.0,34441.0,176927.0,8053.0,Jawa Timur
Jawa Timur,23801034.0,591309.0,369391.0,960700.0,24761734.0,9612.0,2131852.0,5440393.0,1138441.0,8710686.0,33472420.0,7398.0,Jawa Timur
